sample_id	sample_tissue	sample_project_number	sample_antibody	sample_description									
SRR8525165	leaf protoplast	PRJNA518749	bHLH	bHLH_TF87_rep1									
SRR8525166	leaf protoplast	PRJNA518749	C2C2-COL	C2C2-COL_TF89_rep2									
SRR8525167	leaf protoplast	PRJNA518749	C2C2-COL	C2C2-COL_TF89_rep1									
SRR8525168	leaf protoplast	PRJNA518749	HB	HB_TF26_rep1									
SRR8525169	leaf protoplast	PRJNA518749	HB	HB_TF26_rep2									
SRR8525170	leaf protoplast	PRJNA518749	GRAS	GRAS_TF25_rep1									
SRR8525171	leaf protoplast	PRJNA518749	GRAS	GRAS_TF25_rep2									
SRR8525172	leaf protoplast	PRJNA518749	C3H	C3H_TF24_rep1									
SRR8525173	leaf protoplast	PRJNA518749	C3H	C3H_TF24_rep2									
SRR8525174	leaf protoplast	PRJNA518749	MYBR	MYBR_TF21_rep1									
SRR8525175	leaf protoplast	PRJNA518749	MYBR	MYBR_TF21_rep2									
SRR8525176	leaf protoplast	PRJNA518749	C3H	C3H_TF17_rep1									
SRR8525177	leaf protoplast	PRJNA518749	C3H	C3H_TF17_rep2									
SRR8525178	leaf protoplast	PRJNA518749	C2C2-DOF	C2C2-DOF_TF162_rep1									
SRR8525179	leaf protoplast	PRJNA518749	C2C2-DOF	C2C2-DOF_TF162_rep2									
SRR8525180	leaf protoplast	PRJNA518749	C2C2-DOF	C2C2-DOF_TF161_rep1									
SRR8525181	leaf protoplast	PRJNA518749	C2C2-GATA	C2C2-GATA_TF164_rep1									
SRR8525182	leaf protoplast	PRJNA518749	C2C2-GATA	C2C2-GATA_TF164_rep2									
SRR8525183	leaf protoplast	PRJNA518749	C2C2-DOF	C2C2-DOF_TF161_rep2									
SRR8525184	leaf protoplast	PRJNA518749	C2C2-DOF	C2C2-DOF_TF163_rep1									
SRR8525185	leaf protoplast	PRJNA518749	C2C2-DOF	C2C2-DOF_TF163_rep2									
SRR8525186	leaf protoplast	PRJNA518749	ETS	ETS_TF170_rep1									
SRR8525187	leaf protoplast	PRJNA518749	ETS	ETS_TF170_rep2									
SRR8696240	leaf	PRJNA526032	H3K4me3										
SRR8696241	leaf	PRJNA526032	H3K4me3										
SRR8696242	leaf	PRJNA526032	H3K4me3										
SRR8696243	leaf	PRJNA526032	H3K4me3										
SRR8696244	leaf	PRJNA526032	H3K9ac 										
SRR8696245	leaf	PRJNA526032	H3K9ac 										
SRR8696246	leaf	PRJNA526032	H3K9ac 										
SRR8696247	leaf	PRJNA526032	H3K9ac 										
SRR8696248	leaf	PRJNA526032	H3K27me3										
SRR8696249	leaf	PRJNA526032	H3K27me3										
SRR8696250	leaf	PRJNA526032	H3K27me3										
SRR8696251	leaf	PRJNA526032	H3K27me3										
SRR8696252	leaf	PRJNA526032	Input										
SRR8742404	leaf	PRJNA527732	H3										
SRR8742405	leaf	PRJNA527732	H3K27me3										
SRR8742406	leaf	PRJNA527732	H3K36me3										
SRR8742407	leaf	PRJNA527732	H3K56ac										
SRR8742408	leaf	PRJNA527732	H3K4me3										
SRR8742409	leaf	PRJNA527732	H3K4me1										
SRR8742410	leaf	PRJNA527732	H2A.Z										
SRR8742411	leaf	PRJNA527732	Input										
SRR9016265	seedling	PRJNA541043	RNAPII	RNAPII_ChIP-Seq_Rep2									
SRR9016266	seedling	PRJNA541043	H3K27ac	H3K27ac_ChIP-Seq_Rep1									
SRR9016267	seedling	PRJNA541043	H3K4me1	H3K4me1_ChIP-Seq_Rep1									
SRR9016268	seedling	PRJNA541043	RNAPII	RNAPII_ChIP-Seq_Rep1									
SRR9016269	seedling	PRJNA541043	H3K27me3	H3K27me3_ChIP-Seq_Rep1									
SRR9016270	seedling	PRJNA541043	H3K4me3	H3K4me3_ChIP-Seq_Rep1									
SRR9016273	seedling	PRJNA541043	Input	Input_ChIP-Seq									
SRR9016279	seedling	PRJNA541043	H3K27ac	H3K27ac_ChIP-Seq_Rep2									
SRR9016280	seedling	PRJNA541043	H3K27me3	H3K27me3_ChIP-Seq_Rep2									
SRR9016281	seedling	PRJNA541043	H3K4me3	H3K4me3_ChIP-Seq_Rep2									
SRR9016282	seedling	PRJNA541043	H3K4me1	H3K4me1_ChIP-Seq_Rep2									
SRR9113883	seedling	PRJNA544459	H3K56ac	H3K56ac_rep2									
SRR9113884	seedling	PRJNA544459	H3K56ac	H3K56ac_rep1									
SRR9622350	leaf	PRJNA551958	CENH3										
SRR9622351	leaf	PRJNA551958	CENH3										
SRR9622352	leaf	PRJNA551958	CENH3										
SRR9622353	leaf	PRJNA551958	CENH3										
SRR9622354	leaf	PRJNA551958	GFP										
SRR9622355	leaf	PRJNA551958	CENH3										
SRR10072346	ear	PRJNA557457	input	MAZ_LB_bT_EA_1_TF_InP									
SRR10072347	ear	PRJNA557457	input	MAZ_LB_B73_EA_1_TF_InP									
SRR10072348	ear	PRJNA557457	GFP-IP	MAZ_LB_B73_EA_2_TF_RF									
SRR10072349	ear	PRJNA557457	GFP-IP	MAZ_LB_bT_EA_1_TF_GF									
SRR10072350	ear	PRJNA557457	RFP-IP	MAZ_LB_ZFH_bdTu_EA_1_TF_RF									
SRR10072351	ear	PRJNA557457	RFP-IP	MAZ_LB_ZFH_bdTu_EA_2_TF_RF									
SRR10072352	ear	PRJNA557457	GFP-IP	MAZ_LB_WUS_B73_EA_2_TF_RF									
SRR10072353	ear	PRJNA557457	GFP-IP	MAZ_LB_RA1_bdTu_EA_1_TF_GF									
SRR10072354	ear	PRJNA557457	input	MAZ_LB_bT_EA_2_TF_InP									
SRR10072355	ear	PRJNA557457	input	MAZ_LB_ZFH_bdTu_EA_1_TF_InP									
SRR10072356	ear	PRJNA557457	GFP-IP	MAZ_LB_bT_EA_2_TF_GF									
SRR10072357	ear	PRJNA557457	input	MAZ_LB_WUS_B73_EA_2_TF_InP									
SRR10072358	ear	PRJNA557457	input	MAZ_LB_B73_EA_2_TF_InP									
SRR10072359	ear	PRJNA557457	GFP-IP	MAZ_LB_B73_EA_1_TF_RF									
SRR10072360	ear	PRJNA557457	input	MAZ_LB_RA1_bdTu_EA_2_TF_InP									
SRR10072361	ear	PRJNA557457	GFP-IP	MAZ_LB_RA1_bdTu_EA_2_TF_GF									
SRR10072362	ear	PRJNA557457	input	MAZ_LB_WUS_B73_EA_1_TF_InP									
SRR10072363	ear	PRJNA557457	input	MAZ_LB_ZFH_bdTu_EA_2_TF_InP									
SRR10072364	ear	PRJNA557457	RFP-IP	MAZ_LB_bT_EA_2_TF_RF									
SRR10072365	ear	PRJNA557457	input	MAZ_LB_RA1_bdTu_EA_1_TF_InP									
SRR10072366	ear	PRJNA557457	input	MAZ_LB_bT_EA_1_TF_InP									
SRR10072367	ear	PRJNA557457	input	MAZ_LB_bT_EA_2_TF_InP									
SRR10072368	ear	PRJNA557457	RFP-IP	MAZ_LB_bT_EA_1_TF_RF									
SRR10072369	ear	PRJNA557457	GFP-IP	MAZ_LB_WUS_B73_EA_1_TF_RF									
SRR10387977	root	PRJNA587226	GFP-2	GFP-2									
SRR10873354	tassel	PRJNA599454	Input	ChIP-Seq_tassel_input									
SRR10873355	ear	PRJNA599454	Input	ChIP-Seq_ear_input									
SRR10873356	tassel	PRJNA599454	H3K9ac	ChIP-Seq_H3K9ac_tassel_rep2									
SRR10873357	tassel	PRJNA599454	H3K9ac	ChIP-Seq_H3K9ac_tassel_rep1									
SRR10873359	ear	PRJNA599454	H3K9ac	ChIP-Seq_H3K9ac_ear_rep2									
SRR10873360	ear	PRJNA599454	H3K9ac	ChIP-Seq_H3K9ac_ear_rep1									
SRR10873361	tassel	PRJNA599454	H3K27me3	ChIP-Seq_H3K27me3_tassel_rep2									
SRR10873362	tassel	PRJNA599454	H3K27me3	ChIP-Seq_H3K27me3_tassel_rep1									
SRR10873363	ear	PRJNA599454	H3K27me3	ChIP-Seq_H3K27me3_ear_rep2									
SRR10873364	ear	PRJNA599454	H3K27me3	ChIP-Seq_H3K27me3_ear_rep1									
SRR10873365	tassel	PRJNA599454	H3K4me3	ChIP-Seq_H3K4me3_tassel_rep2									
SRR10873366	tassel	PRJNA599454	H3K4me3	ChIP-Seq_H3K4me3_tassel_rep1									
SRR10873367	ear	PRJNA599454	H3K4me3	ChIP-Seq_H3K4me3_ear_rep2									
SRR10873368	ear	PRJNA599454	H3K4me3	ChIP-Seq_H3K4me3_ear_rep1									
SRR11443079	shoot	PRJNA616067	021	V6-021-2									
SRR11443080	shoot	PRJNA616067	IgG	V6-IgG-2									
SRR11443081	shoot	PRJNA616067	021	V6-021-1									
SRR11443082	shoot	PRJNA616067	IgG	V6-IgG-1									
SRR11721659	seed	PRJNA629420	IgG	IgG_4									
SRR11721660	seed	PRJNA629420	IgG	IgG_1									
SRR11721661	seed	PRJNA629420	B19	B19_6									
SRR11721662	seed	PRJNA629420	B19	B19_1									
SRR11806558	meristem	PRJNA633509	Input	ChIPseq control antibody rep2									
SRR11806559	meristem	PRJNA633509	Input	ChIPseq control antibody rep1									
SRR11806560	meristem	PRJNA633509	anti-NS1	ChIPseq NS1 antibody rep2									
SRR11806561	meristem	PRJNA633509	anti-NS1	ChIPseq NS1 antibody rep1									
SRR12012265	ear	PRJNA639431	GRX	ChIP-seq_GRX_WT_rep2									
SRR12012266	ear	PRJNA639431	GRX	ChIP-seq_GRX_WT_rep1									
SRR12012267	ear	PRJNA639431	GRX	ChIP-seq_grx_triple_rep2									
SRR12012268	ear	PRJNA639431	GRX	ChIP-seq_grx_triple_rep1									
SRR12023729	seedling	PRJNA639705	CENH3?	HP301_2									
SRR12023730	seedling	PRJNA639705	CENH3?	HP301_1									
SRR12023731	seedling	PRJNA639705	CENH3?	trangenic_Ox_3									
SRR12023732	seedling	PRJNA639705	CENH3?	trangenic_Ox_2									
SRR12023733	seedling	PRJNA639705	CENH3?	trangenic_Ox_1									
SRR12023734	seedling	PRJNA639705	CENH3?	trangenic_WT_3									
SRR12023735	seedling	PRJNA639705	CENH3?	trangenic_WT_2									
SRR12023736	seedling	PRJNA639705	CENH3?	CML333_3									
SRR12023737	seedling	PRJNA639705	CENH3?	trangenic_WT_1									
SRR12023738	seedling	PRJNA639705	CENH3?	B73lux_BC1F2_19									
SRR12023739	seedling	PRJNA639705	CENH3?	B73lux_BC1F2_17									
SRR12023740	seedling	PRJNA639705	CENH3?	B73lux_BC1F2_16									
SRR12023741	seedling	PRJNA639705	CENH3?	B73lux_BC1F2_15									
SRR12023742	seedling	PRJNA639705	CENH3?	B73lux_BC1F2_13									
SRR12023743	seedling	PRJNA639705	CENH3?	B73lux_BC1F2_11									
SRR12023744	seedling	PRJNA639705	CENH3?	B73lux_BC1F2_6									
SRR12023745	seedling	PRJNA639705	CENH3?	B73lux_BC1F2_2									
SRR12023746	seedling	PRJNA639705	CENH3?	B73lux_BC1F2_1									
SRR12023747	seedling	PRJNA639705	CENH3?	CML333_2									
SRR12023748	seedling	PRJNA639705	CENH3?	B73lux_F2_6									
SRR12023749	seedling	PRJNA639705	CENH3?	B73lux_F2_5									
SRR12023750	seedling	PRJNA639705	CENH3?	B73lux_F2_4									
SRR12023751	seedling	PRJNA639705	CENH3?	B73lux_F2_3									
SRR12023752	seedling	PRJNA639705	CENH3?	B73lux_F2_2									
SRR12023753	seedling	PRJNA639705	CENH3?	B73lux_F2_1									
SRR12023754	seedling	PRJNA639705	CENH3?	B73lux_F1_3									
SRR12023755	seedling	PRJNA639705	CENH3?	B73lux_F1_2									
SRR12023756	seedling	PRJNA639705	CENH3?	B73lux_F1_1									
SRR12023757	seedling	PRJNA639705	CENH3?	OaxB73_BC1F2_19									
SRR12023758	seedling	PRJNA639705	CENH3?	CML333_1									
SRR12023759	seedling	PRJNA639705	CENH3?	OaxB73_BC1F2_18									
SRR12023760	seedling	PRJNA639705	CENH3?	OaxB73_BC1F2_17									
SRR12023761	seedling	PRJNA639705	CENH3?	OaxB73_BC1F2_16									
SRR12023762	seedling	PRJNA639705	CENH3?	OaxB73_BC1F2_15									
SRR12023763	seedling	PRJNA639705	CENH3?	OaxB73_BC1F2_13									
SRR12023764	seedling	PRJNA639705	CENH3?	OaxB73_BC1F2_12									
SRR12023765	seedling	PRJNA639705	CENH3?	OaxB73_BC1F2_11									
SRR12023766	seedling	PRJNA639705	CENH3?	OaxB73_BC1F2_10									
SRR12023767	seedling	PRJNA639705	CENH3?	OaxB73_BC1F2_9									
SRR12023768	seedling	PRJNA639705	CENH3?	OaxB73_BC1F2_8									
SRR12023769	seedling	PRJNA639705	CENH3?	CML277_2									
SRR12023770	seedling	PRJNA639705	CENH3?	OaxB73_BC1F2_6									
SRR12023771	seedling	PRJNA639705	CENH3?	OaxB73_BC1F2_4									
SRR12023772	seedling	PRJNA639705	CENH3?	OaxB73_BC1F2_2									
SRR12023773	seedling	PRJNA639705	CENH3?	OaxB73_BC1F2_1									
SRR12023774	seedling	PRJNA639705	CENH3?	OaxB73_F2_9									
SRR12023775	seedling	PRJNA639705	CENH3?	OaxB73_F2_8									
SRR12023776	seedling	PRJNA639705	CENH3?	OaxB73_F2_7									
SRR12023777	seedling	PRJNA639705	CENH3?	OaxB73_F2_6									
SRR12023778	seedling	PRJNA639705	CENH3?	OaxB73_F2_5									
SRR12023779	seedling	PRJNA639705	CENH3?	OaxB73_F2_4									
SRR12023780	seedling	PRJNA639705	CENH3?	CML277_1									
SRR12023781	seedling	PRJNA639705	CENH3?	OaxB73_F2_3									
SRR12023782	seedling	PRJNA639705	CENH3?	OaxB73_F2_2									
SRR12023783	seedling	PRJNA639705	CENH3?	OaxB73_F2_1									
SRR12023784	seedling	PRJNA639705	CENH3?	Tzi8_2									
SRR12023785	seedling	PRJNA639705	CENH3?	Tzi8_1									
SRR12023786	seedling	PRJNA639705	CENH3?	P39_3									
SRR12023787	seedling	PRJNA639705	CENH3?	P39_2									
SRR12023788	seedling	PRJNA639705	CENH3?	P39_1									
SRR12023789	seedling	PRJNA639705	CENH3?	Oh7b_2									
SRR12023790	seedling	PRJNA639705	CENH3?	Oh7b_1									
SRR12023791	seedling	PRJNA639705	CENH3?	CML103_2									
SRR12023792	seedling	PRJNA639705	CENH3?	NC350_2									
SRR12023793	seedling	PRJNA639705	CENH3?	NC350_1									
SRR12023794	seedling	PRJNA639705	CENH3?	Ki3_2									
SRR12023795	seedling	PRJNA639705	CENH3?	Ki3_1									
SRR12023796	seedling	PRJNA639705	CENH3?	Ki11_3									
SRR12023797	seedling	PRJNA639705	CENH3?	Ki11_2									
SRR12023798	seedling	PRJNA639705	CENH3?	Ki11_1									
SRR12023799	seedling	PRJNA639705	CENH3?	IL14H_3									
SRR12023800	seedling	PRJNA639705	CENH3?	IL14H_2									
SRR12023801	seedling	PRJNA639705	CENH3?	IL14H_1									
SRR12023802	seedling	PRJNA639705	CENH3?	CML103_1									
SRR12023803	seedling	PRJNA639705	CENH3?	B73									
SRR12114570	leaf	PRJNA642994	anti-LAZY	LAZY2									
SRR12114571	leaf	PRJNA642994	anti-LAZY	LAZY1									
SRR12276259	ear	PRJNA647198	HDZIV6-IP	HDZIV6-IP-R2_S10-2_3rd_time									
SRR12276260	ear	PRJNA647198	HDZIV6-IP	HDZIV6-IP-R1_S09-2_3rd_time									
SRR12276261	ear	PRJNA647198	Input	HDZIV6-Input-R2_S10_2nd_time									
SRR12276262	ear	PRJNA647198	Input	HDZIV6-Input-R1_S09_2nd_time									
SRR12276263	ear	PRJNA647198	HDZIV6-IP	HDZIV6-IP-R2_S12									
SRR12276264	ear	PRJNA647198	HDZIV6-IP	HDZIV6-IP-R1_S11									
SRR12276265	ear	PRJNA647198	Input	HDZIV6-Input-R2_S10									
SRR12276266	ear	PRJNA647198	Input	HDZIV6-Input-R1_S09									
SRR12276812	ear	PRJNA647200	ZmM16-IP	ZmM16-IP-R2_S20									
SRR12276813	ear	PRJNA647200	ZmM16-IP-R1	ZmM16-IP-R1_S19									
SRR12276814	ear	PRJNA647200	Input	ZmM16-Input-R2_S18									
SRR12276815	ear	PRJNA647200	Input	ZmM16-Input-R1_S17									
SRR12995126	ear	PRJNA674873	H3K4me1										
SRR12995128	ear	PRJNA674873	Input										
SRR13148991	leaf	PRJNA680868	H3K9me2	H3K9me2_ChIP-seq_of_L_rep2									
SRR13148992	leaf	PRJNA680868	H3K9me2	H3K9me2_ChIP-seq_of_L_rep1									
SRR13148993	leaf	PRJNA680868	H3K9me2	H3K9me2_ChIP-seq_of_H_rep2									
SRR13148994	leaf	PRJNA680868	H3K9me2	H3K9me2_ChIP-seq_of_H_rep1									
SRR13148995	leaf	PRJNA680868	H3K9me2	H3K9me2_ChIP-seq_of_S11_rep2									
SRR13148996	leaf	PRJNA680868	H3K9me2	H3K9me2_ChIP-seq_of_S11_rep1									
SRR13148997	leaf	PRJNA680868	H3K9me2	H3K9me2_ChIP-seq_of_S7_rep2									
SRR13148998	leaf	PRJNA680868	H3K9me2	H3K9me2_ChIP-seq_of_S7_rep1									
SRR13149000	leaf	PRJNA680868	H3K27me3	H3K27me3_ChIP-seq_of_L_rep2									
SRR13149001	leaf	PRJNA680868	H3K27me3	H3K27me3_ChIP-seq_of_L_rep1									
SRR13149002	leaf	PRJNA680868	H3K27me3	H3K27me3_ChIP-seq_of_H_rep2									
SRR13149003	leaf	PRJNA680868	H3K27me3	H3K27me3_ChIP-seq_of_H_rep1									
SRR13149004	leaf	PRJNA680868	H3K27me3	H3K27me3_ChIP-seq_of_S11_rep2									
SRR13149005	leaf	PRJNA680868	H3K27me3	H3K27me3_ChIP-seq_of_S11_rep1									
SRR13149006	leaf	PRJNA680868	H3K27me3	H3K27me3_ChIP-seq_of_S7_rep2									
SRR13149007	leaf	PRJNA680868	H3K27me3	H3K27me3_ChIP-seq_of_S7_rep1									
SRR13149008	leaf	PRJNA680868	H3K27me2	H3K27me2_ChIP-seq_of_L_rep2									
SRR13149009	leaf	PRJNA680868	H3K27me2	H3K27me2_ChIP-seq_of_L_rep1									
SRR13149011	leaf	PRJNA680868	H3K27me2	H3K27me2_ChIP-seq_of_H_rep2									
SRR13149012	leaf	PRJNA680868	H3K27me2	H3K27me2_ChIP-seq_of_H_rep1									
SRR13149013	leaf	PRJNA680868	H3K27me2	H3K27me2_ChIP-seq_of_S11_rep2									
SRR13149014	leaf	PRJNA680868	H3K27me2	H3K27me2_ChIP-seq_of_S11_rep1									
SRR13149015	leaf	PRJNA680868	H3K27me2	H3K27me2_ChIP-seq_of_S7_rep2									
SRR13149016	leaf	PRJNA680868	H3K27me2	H3K27me2_ChIP-seq_of_S7_rep1									
SRR13198932	embryo	PRJNA682607	ZmDDM1A										
SRR13198933	embryo	PRJNA682607	ZmDDM1A										
SRR13198934	embryo	PRJNA682607	Input										
SRR13198935	embryo	PRJNA682607	Input										
SRR13198936	embryo	PRJNA682607	ZmDDM1A										
SRR13198937	embryo	PRJNA682607	ZmDDM1A										
SRR13198938	embryo	PRJNA682607	Input										
SRR13198939	embryo	PRJNA682607	Input										
SRR13198940	embryo	PRJNA682607	ZmDDM1B										
SRR13198941	embryo	PRJNA682607	ZmDDM1B										
SRR13198942	embryo	PRJNA682607	Input										
SRR13198943	embryo	PRJNA682607	Input										
SRR13198944	embryo	PRJNA682607	ZmDDM1B										
SRR13198945	embryo	PRJNA682607	ZmDDM1B										
SRR13198946	embryo	PRJNA682607	Input										
SRR13198947	embryo	PRJNA682607	Input										
SRR13198948	embryo	PRJNA682607	ZmAGO4										
SRR13198949	embryo	PRJNA682607	ZmAGO4										
SRR13198950	embryo	PRJNA682607	Input										
SRR13198951	embryo	PRJNA682607	Input										
SRR13198952	embryo	PRJNA682607	IgG										
SRR13198953	embryo	PRJNA682607	IgG										
SRR13198954	embryo	PRJNA682607	H3K9me2										
SRR13198955	embryo	PRJNA682607	H3K9me2										
SRR13198956	embryo	PRJNA682607	Input										
SRR13198957	embryo	PRJNA682607	Input										
SRR15100957	no_label	PRJNA708256	4acC										
SRR14772606	leaf	PRJNA736453	CENH3	ChIP-seq_mini_B1104_rep5									
SRR14772607	leaf	PRJNA736453	CENH3	ChIP-seq_mini_B1104_rep4									
SRR14772608	leaf	PRJNA736453	CENH3	ChIP-seq_mini_B1104_rep3									
SRR14772609	leaf	PRJNA736453	CENH3	ChIP-seq_mini_B1104_rep2									
SRR14772610	leaf	PRJNA736453	CENH3	ChIP-seq_mini_B1104_rep1									
SRR14772611	leaf	PRJNA736453	CENH3	ChIP-seq_mini_B496_rep3									
SRR14772612	leaf	PRJNA736453	CENH3	ChIP-seq_mini_B496_rep2									
SRR14772613	leaf	PRJNA736453	CENH3	ChIP-seq_TB-9Sb_rep3									
SRR14772616	leaf	PRJNA736453	CENH3	ChIP-seq_TB-9Sb_rep1									
SRR14772617	leaf	PRJNA736453	CENH3	ChIP-seq_B73+B_rep3									
SRR14772618	leaf	PRJNA736453	CENH3	ChIP-seq_B73+B_rep2									
SRR14772619	leaf	PRJNA736453	CENH3	ChIP-seq_B73+B_rep1									
SRR14772620	leaf	PRJNA736453	CENH3	ChIP-seq_B73_rep3									
SRR14772622	leaf	PRJNA736453	CENH3	ChIP-seq_B73_rep1									
SRR14772623	leaf	PRJNA736453	CENH3	ChIP-seq_9-Bic-1_rep3									
SRR14772625	leaf	PRJNA736453	CENH3	ChIP-seq_9-Bic-1_rep1									
SRR14772614	leaf	PRJNA736453	CENH3	ChIP-seq_TB-9Sb_rep2									
SRR14772615	leaf	PRJNA736453	CENH3	ChIP-seq_mini_B496_rep1									
SRR14772624	leaf	PRJNA736453	CENH3	ChIP-seq_9-Bic-1_rep2									
SRR14772621	leaf	PRJNA736453	CENH3	ChIP-seq_B73_rep2									
SRR21509776	seedling	PRJNA751841	Input	MO17-CENH3-INPUT_rep2									
SRR21509777	seedling	PRJNA751841	Input	MO17-CENH3-INPUT_rep1									
SRR21509778	seedling	PRJNA751841	CENH3	Mo17_seedling_CENH3_rep2									
SRR21509779	seedling	PRJNA751841	CENH3	Mo17_seedling_CENH3_rep1									
SRR16925112	mixed	PRJNA779257	ZmICE1-OE	wt									
SRR16925111	root	PRJNA779257	ZmICE1-OE	ZmICE1-OE									
SRR17287595	ear	PRJNA790036	GIF1	9									
SRR17287594	ear	PRJNA790036	Input	10									
SRR17287596	ear	PRJNA790036	GIF1	8									
SRR17287597	ear	PRJNA790036	GIF1	7									
SRR19240665	leaf	PRJNA838433	Input	WT_IN									
SRR19240666	leaf	PRJNA838433	H3K36ME3	WT_H3K36ME3									
SRR19240668	leaf	PRJNA838433	H3K36ME3	OE3_H3K36ME3									
SRR19240669	leaf	PRJNA838433	H3K36ME3	AS1_H3K36ME3									
SRR19240670	leaf	PRJNA838433	Input	AS1_IN									
SRR19240667	leaf	PRJNA838433	Input	OE3_IN									
SRR19636280	no_label	PRJNA848792	H3K4ac	GSM6238877									
SRR19636282	no_label	PRJNA848792	H4K12ac	GSM6238875									
SRR19636283	no_label	PRJNA848792	H3K36me3	GSM6238874									
SRR19636284	no_label	PRJNA848792	H3K36me3 	GSM6238873									
SRR19636281	no_label	PRJNA848792	H3K9ac	GSM6238876									
SRR19668000	anther	PRJNA849754	Input	LOB30Input_1									
SRR19668001	anther	PRJNA849754	IgG	LOB30Mock_1									
SRR19668002	anther	PRJNA849754	GFP-LOB30	LOB30IP-3_1									
SRR19668003	anther	PRJNA849754	GFP-LOB30	LOB30IP-2_1									
SRR19668004	anther	PRJNA849754	GFP-LOB30	LOB30IP-1_1									
SRR21315163	mixed	PRJNA874319	Input	input plant 3									
SRR21315165	mixed	PRJNA874319	Input	input plant 2									
SRR21315166	mixed	PRJNA874319	CENH3	CENH3 ChIP-seq plant 2									
SRR21315177	mixed	PRJNA874319	Input	input plant 1									
SRR21315178	mixed	PRJNA874319	CENH3	CENH3 ChIP-seq plant 1									
SRR21315164	mixed	PRJNA874319	CENH3	CENH3 ChIP-seq plant 3									
SRR748861	endosperm	SRP011991	H3K27me3										
SRR748862	endosperm	SRP011991	H3K27me3										
SRR023594	no_label	SRP001092	Centromere	C515_SID3235_UHawaii_reads									
